,from_dataset,from_action_idx,from_action_name,to_dataset,to_action_idx,to_action_name,relation
0,hmdb51,2,catch,charades,83,Reaching for and grabbing a picture,is-a
1,hmdb51,3,chew,charades,65,Eating a sandwich,similar
2,hmdb51,3,chew,charades,156,Someone is eating something,similar
3,hmdb51,10,drink,charades,106,Drinking from a cup/glass/bottle,is-a
4,hmdb51,10,drink,charades,129,Taking/consuming some medicine,is-a
5,hmdb51,11,eat,charades,65,Eating a sandwich,is-a
6,hmdb51,11,eat,charades,156,Someone is eating something,equal
7,hmdb51,23,laugh,charades,29,Smiling at a book,is-a
8,hmdb51,23,laugh,charades,85,Laughing at a picture,is-a
9,hmdb51,23,laugh,charades,94,Smiling in a mirror,is-a
10,hmdb51,23,laugh,charades,131,Laughing at television,is-a
11,hmdb51,23,laugh,charades,149,Someone is laughing,equal
12,hmdb51,23,laugh,charades,152,Someone is smiling,equal
13,hmdb51,24,pick,charades,0,Holding some clothes,is-a
14,hmdb51,24,pick,charades,2,Taking some clothes from somewhere,is-a
15,hmdb51,24,pick,charades,18,Taking a phone/camera from somewhere,is-a
16,hmdb51,24,pick,charades,20,Holding a bag,is-a
17,hmdb51,24,pick,charades,23,Taking a bag from somewhere,is-a
18,hmdb51,24,pick,charades,26,Holding a book,is-a
19,hmdb51,24,pick,charades,30,Taking a book from somewhere,is-a
20,hmdb51,24,pick,charades,33,Holding a towel/s,is-a
21,hmdb51,24,pick,charades,35,Taking a towel/s from somewhere,is-a
22,hmdb51,24,pick,charades,40,Holding a box,is-a
23,hmdb51,24,pick,charades,43,Taking a box from somewhere,is-a
24,hmdb51,24,pick,charades,44,Taking something from a box,is-a
25,hmdb51,24,pick,charades,50,Taking a laptop from somewhere,is-a
26,hmdb51,24,pick,charades,53,Holding a shoe/shoes,is-a
27,hmdb51,24,pick,charades,56,Taking shoes from somewhere,is-a
28,hmdb51,24,pick,charades,61,Holding some food,is-a
29,hmdb51,24,pick,charades,63,Taking food from somewhere,is-a
30,hmdb51,24,pick,charades,67,Holding a sandwich,is-a
31,hmdb51,24,pick,charades,69,Taking a sandwich from somewhere,is-a
32,hmdb51,24,pick,charades,73,Taking a blanket from somewhere,is-a
33,hmdb51,24,pick,charades,79,Taking a pillow from somewhere,is-a
34,hmdb51,24,pick,charades,83,Reaching for and grabbing a picture,is-a
35,hmdb51,24,pick,charades,84,Holding a picture,is-a
36,hmdb51,24,pick,charades,93,Holding a mirror,is-a
37,hmdb51,24,pick,charades,100,Taking a broom from somewhere,is-a
38,hmdb51,24,pick,charades,107,Holding a cup/glass/bottle of something,is-a
39,hmdb51,24,pick,charades,110,Taking a cup/glass/bottle from somewhere,is-a
40,hmdb51,24,pick,charades,115,Someone is holding a paper/notebook,is-a
41,hmdb51,24,pick,charades,117,Taking paper/notebook from somewhere,is-a
42,hmdb51,24,pick,charades,120,Taking a dish/es from somewhere,is-a
43,hmdb51,24,pick,charades,128,Holding some medicine,is-a
44,hmdb51,24,pick,charades,138,Taking a vacuum from somewhere,is-a
45,hmdb51,25,pour,charades,108,Pouring something into a cup/glass/bottle,is-a
46,hmdb51,37,sit,charades,10,Sitting on a table,is-a
47,hmdb51,37,sit,charades,11,Sitting at a table,is-a
48,hmdb51,37,sit,charades,59,Sitting in a chair,is-a
49,hmdb51,37,sit,charades,123,Sitting on sofa/couch,is-a
50,hmdb51,37,sit,charades,125,Sitting on the floor,is-a
51,hmdb51,37,sit,charades,135,Sitting in a bed,is-a
52,hmdb51,37,sit,charades,151,Someone is going from standing to sitting,equal
53,hmdb51,39,smile,charades,29,Smiling at a book,is-a
54,hmdb51,39,smile,charades,85,Laughing at a picture,is-a
55,hmdb51,39,smile,charades,94,Smiling in a mirror,is-a
56,hmdb51,39,smile,charades,131,Laughing at television,is-a
57,hmdb51,39,smile,charades,149,Someone is laughing,equal
58,hmdb51,39,smile,charades,152,Someone is smiling,equal
59,hmdb51,42,stand,charades,60,Standing on a chair,is-a
60,hmdb51,42,stand,charades,151,Someone is going from standing to sitting,is-a
61,hmdb51,42,stand,charades,154,Someone is standing up from somewhere,is-a
62,hmdb51,46,talk,charades,19,Talking on a phone/camera,is-a
63,hmdb51,47,throw,charades,3,Throwing clothes somewhere,is-a
64,hmdb51,47,throw,charades,24,Throwing a bag somewhere,is-a
65,hmdb51,47,throw,charades,31,Throwing a book somewhere,is-a
66,hmdb51,47,throw,charades,36,Throwing a towel/s somewhere,is-a
67,hmdb51,47,throw,charades,45,Throwing a box somewhere,is-a
68,hmdb51,47,throw,charades,58,Throwing shoes somewhere,is-a
69,hmdb51,47,throw,charades,64,Throwing food somewhere,is-a
70,hmdb51,47,throw,charades,74,Throwing a blanket somewhere,is-a
71,hmdb51,47,throw,charades,80,Throwing a pillow somewhere,is-a
72,hmdb51,47,throw,charades,101,Throwing a broom somewhere,is-a
73,hmdb51,47,throw,charades,126,Throwing something on the floor,is-a
74,hmdb51,48,turn,charades,104,Turning on a light,is-a
75,hmdb51,48,turn,charades,105,Turning off a light,is-a
76,hmdb51,49,walk,charades,97,Walking through a doorway,is-a
77,hmdb51,0,brush_hair,activitynet,12,Blow-drying_hair,similar
78,hmdb51,0,brush_hair,activitynet,14,Braiding_hair,similar
79,hmdb51,0,brush_hair,activitynet,16,Brushing_hair,equal
80,hmdb51,0,brush_hair,activitynet,17,Brushing_teeth,similar
81,hmdb51,0,brush_hair,activitynet,60,Getting_a_haircut,similar
82,hmdb51,2,catch,activitynet,21,Calf_roping,is-a
